level,file,issue,metric,n
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,TOTAL_VOTOS,308
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,MORENA,307
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PAN,307
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PT,307
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PAN,305
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PRD,305
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PRI,305
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,PAN_PRI_PRD,305
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,value_mismatch,PAN,305
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,value_mismatch,PRD,305
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,value_mismatch,PRI,305
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,NUM_VOTOS_NULOS,304
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,CASILLAS,300
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,value_mismatch,CASILLAS,300
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,missing_in_warehouse,CAND_IND1,299
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,missing_in_warehouse,CAND_IND2,299
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,CAND_IND1,299
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,CAND_IND2,299
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,missing_in_warehouse,CAND_IND1,299
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,missing_in_warehouse,CAND_IND2,299
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PAN,294
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PRD,294
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PRI,294
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,value_mismatch,PAN_PRI_PRD,294
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,PAN,294
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,PRD,294
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,PRI,294
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,PAN,294
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,PRD,294
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,PRI,294
SEC,2024_SEE_PRE_NAL_SEC.csv,value_mismatch,CASILLAS,291
DIS,2024_SEE_PRE_NAL_DIS.csv,value_mismatch,CASILLAS,289
DIS,2024_SEE_PRE_NAL_DISCAND.csv,value_mismatch,CASILLAS,289
DIS,2024_SEE_PRE_NAL_DISPP.csv,value_mismatch,CASILLAS,289
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,CASILLAS,284
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,value_mismatch,CASILLAS,284
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,CASILLAS,284
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,CASILLAS,284
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,CASILLAS,284
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,CASILLAS,284
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,CASILLAS,284
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,CASILLAS,284
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,MORENA,279
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,PT,279
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,PVEM,279
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,MORENA,278
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,PT,278
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,PVEM,278
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PRD,271
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,MC,267
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,MORENA,267
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,NUM_VOTOS_VALIDOS,267
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,TOTAL_VOTOS,267
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PVEM,266
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,NUM_VOTOS_NULOS,265
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PAN,265
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PRI,265
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PT,264
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,MORENA,263
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,PT,263
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,PVEM,263
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,MORENA,260
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PT,260
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PVEM,260
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,value_mismatch,PVEM_PT_MORENA,260
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PRD,242
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,value_mismatch,MORENA,236
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,value_mismatch,PT,236
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,value_mismatch,PVEM,236
MUN,2024_SEE_PRE_NAL_MUN.csv,value_mismatch,CASILLAS,231
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,MORENA,229
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PT,229
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PVEM,229
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,PVEM_PT_MORENA,229
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,CASILLAS,226
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,CASILLAS,226
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PVEM_PT_MORENA,212
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PAN_PRI_PRD,211
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PAN_PRI_PRD,206
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PVEM_PT_MORENA,186
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PVEM_MORENA,174
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,MC,172
